"","1","2","3","4","5","6","7","8","9"
"challenges vision",0,1,0,0,0,0,0,0,0
"challenges wondered",0,0,0,0,0,0,0,0,1
"change device",0,0,0,0,0,0,1,0,0
"change learn",0,0,0,0,0,0,0,0,1
"change life",0,0,0,0,0,0,0,0,2
"change lives",0,0,1,0,0,0,0,0,0
"change mind",0,0,0,0,0,0,1,0,0
"change pronounces",0,0,0,0,0,1,0,0,0
"change providing",0,0,1,0,0,0,0,0,0
"change volume",0,0,0,1,0,0,0,0,0
"change world",0,0,1,0,0,0,0,0,0
"changed contracted",0,0,0,0,0,0,0,0,1
"changed joan",0,0,0,0,0,0,0,0,1
"changed power",0,0,0,0,0,0,0,0,1
"changer frequently",0,0,0,0,0,1,0,0,0
"changing board",0,0,0,0,2,0,0,0,0
"changing letters",0,0,0,0,0,0,0,0,1
"changing verbal",0,0,0,0,0,1,0,0,0
"channel expressing",0,0,0,0,0,0,0,0,1
"characteristics simple",0,0,0,0,0,1,0,0,0
"charge device",0,0,0,0,0,0,0,0,1
"charged care",0,0,0,0,0,0,0,0,1
"charter rights",0,0,0,0,0,0,0,0,1
"child's carry",0,0,0,0,0,0,1,0,0
"child access",0,0,0,0,0,0,0,0,1
"child communicate",0,0,0,0,1,0,0,0,0
"child device",0,0,0,0,0,0,0,0,1
"child lack",0,0,0,0,0,0,0,0,1
"child liberating",0,0,0,0,0,0,0,0,1
"child read",0,0,0,0,0,0,1,0,0
"child speech",0,0,0,0,0,1,0,0,0
"child stronger",0,0,0,0,0,0,1,0,0
"children adults",0,0,0,0,0,0,1,0,0
"children learn",0,0,0,0,0,0,0,0,1
"children limit",0,0,0,0,0,0,0,0,1
"children voices",0,2,0,0,0,0,0,0,0
"children’s treatment",0,0,0,0,0,0,0,0,1
"chinese hebrew",1,0,0,0,0,0,0,0,0
"choice boards",0,0,0,0,1,0,0,0,0
"choice disapears",0,0,0,0,1,0,0,0,0
"choices free",1,0,0,0,0,0,0,0,0
"choices helping",0,1,0,0,0,0,0,0,0
"choices highly",0,0,0,0,0,1,0,0,0
"choices inclusion",0,0,0,0,0,0,1,0,0
"choices motivating",0,0,0,0,0,1,0,0,0
"choices naturally",0,0,0,0,1,0,0,0,0
"choices popup",1,0,0,0,0,0,0,0,0
"choices select",0,0,0,0,0,1,0,0,0
"choose buttons",0,0,0,0,0,0,0,0,1
"choose create",0,0,0,0,0,0,1,0,0
"choose dayhab",0,0,0,0,1,0,0,0,0
"choose male",0,0,1,0,0,0,0,0,0
"choose offers",1,0,0,0,0,0,0,0,0
"choose photos",0,0,0,0,0,1,0,0,0
"choose service",0,0,0,1,0,0,0,0,0
"choose share",0,0,0,1,0,0,0,0,0
"choose voice",0,0,0,1,0,0,0,0,0
"chrysalis stark",0,0,0,0,0,0,0,0,1
"circle times",0,0,0,0,0,0,1,0,0
"circuit tv",0,0,0,0,1,0,0,0,0
"circuits loved",0,0,0,0,0,0,0,0,1
"circumstances delay",0,0,0,0,0,1,0,0,0
"citizens establishing",0,0,0,0,0,0,0,0,1
"class follow",0,0,0,0,1,0,0,0,0
"class honors",0,0,0,0,0,0,0,0,1
"class mates",0,0,0,0,1,0,0,0,0
"class questions",0,0,0,0,1,0,0,0,0
"class reports",0,0,0,0,1,0,0,0,0
"classroom colleagues",0,0,0,0,1,0,0,0,0
"classroom detailed",0,0,0,0,1,0,0,0,0
"classroom doors",0,0,0,0,2,0,0,0,0
"classroom dream",0,0,0,0,1,0,0,0,0
"classroom includes",0,1,0,0,0,0,0,0,0
"classroom participation",0,0,0,0,0,0,1,0,0
"classroom time",0,0,0,0,1,0,0,0,0
"classroom wow",0,0,0,0,1,0,0,0,0
"clean selected",0,0,0,0,1,0,0,0,0
"clean simple",0,0,0,0,1,0,0,0,0
"click students",0,0,0,0,1,0,0,0,0
"clicking web",0,0,0,0,1,0,0,0,0
"client access",0,0,0,0,1,0,0,0,0
"client communicate",0,0,0,0,0,0,0,0,1
"client professional",0,0,0,0,1,0,0,0,0
"clients 4",0,0,0,0,1,0,0,0,0
"clients clinic",0,0,0,0,0,0,0,0,1
"clients copy",0,0,0,0,1,0,0,0,0
"clients independent",0,0,0,0,1,0,0,0,0
"clients parents",0,0,0,0,0,0,0,0,1
"clinic virtually",0,0,0,0,0,0,0,0,1
"clinical recommendation",0,0,0,0,0,0,0,0,1
"clipart actual",0,0,0,0,1,0,0,0,0
"close continue",0,0,0,0,0,0,0,1,0
"close retreat",0,0,0,0,0,0,0,0,1
"close waves",0,0,0,0,0,0,0,0,1
"closed circuit",0,0,0,0,1,0,0,0,0
"closes alphas",0,0,0,0,0,1,0,0,0
"cloud data",0,0,0,0,1,0,0,0,0
"cognitive ability",0,0,0,0,0,0,0,0,1
"cognitive disabilities",0,0,0,0,2,0,0,0,0
"cognitive disability",0,0,0,0,0,1,0,0,0
"cognitive level",0,0,0,0,0,0,0,0,1
"cognitive load",0,0,0,0,0,0,0,0,1
"cognitively disabled",0,0,0,0,0,1,0,0,0
"collaborate access",0,0,0,0,0,0,0,0,1
"collaborate school",0,0,0,0,0,0,0,0,1
"collaborating receiving",0,0,0,0,0,0,0,0,1
"collaborative family",1,0,0,0,0,0,0,0,0
"collaborative research",0,0,0,0,0,0,0,0,1
"colleagues noticed",0,0,0,0,1,0,0,0,0
"collect moment",0,0,0,0,0,0,0,0,1
"college student",0,0,0,0,0,1,1,0,0
"colors backgrounds",0,0,0,0,0,0,0,0,1
"colors borders",0,0,0,1,0,0,0,0,0
"combine words",0,0,1,0,0,0,0,0,0
"combined essentially",0,0,0,0,0,0,0,0,1
"combos spellings",0,0,0,0,0,0,0,0,1
"comfort parents",0,0,0,0,0,0,0,0,1
"comfort participate",0,0,0,0,0,0,0,0,1
"comfortable died",0,0,0,0,0,0,0,0,1
"comfortable fine",0,0,0,0,1,0,0,0,0
"coming care",0,0,0,0,0,0,0,0,1
"commands surrounded",0,0,0,0,0,0,0,0,1
"comment friend’s",0,0,0,0,0,0,0,0,1
"commenting directing",0,0,0,0,0,0,0,0,1
"comments individuals",0,0,0,0,0,0,0,0,1
"comments mc",0,0,0,0,1,0,0,0,0
"commercial entities",0,0,0,0,1,0,0,0,0
"committed continual",0,0,1,0,0,0,0,0,0
"communicate aphasia",0,0,0,0,1,0,0,0,0
"communicate basic",0,0,0,0,0,0,1,0,0
"communicate becuase",0,0,0,0,0,1,0,0,0
"communicate choose",1,0,0,0,0,0,0,0,0
"communicate communicate",0,0,0,0,0,0,0,0,1
"communicate essential",0,0,0,0,0,0,1,0,0
"communicate exhilarating",0,0,0,0,0,0,0,0,1
"communicate hearing",0,0,0,0,0,1,0,0,0
"communicate increased",0,0,0,0,0,1,0,0,0
"communicate niece",0,0,0,0,0,1,0,0,0
"communicate openly",0,0,0,0,0,0,0,0,1
"communicate pain",0,0,0,0,1,0,0,0,0
"communicate perfect",0,0,0,0,0,0,0,0,1
"communicate personality",0,0,0,0,0,0,0,0,1
"communicate powerful",0,0,0,0,0,0,0,0,2
"communicate quick",0,0,1,0,0,0,0,0,0
"communicate quicker",0,0,0,0,0,0,1,0,0
"communicate realized",0,0,0,0,0,0,0,0,1
"communicate silently",0,0,0,1,0,0,0,0,0
"communicate spared",0,0,0,0,0,1,0,0,0
"communicate spend",0,0,1,0,0,0,0,0,0
"communicate successfully",0,0,0,0,1,0,0,0,0
"communicate teaching",0,0,0,0,0,0,0,0,1
"communicate therapists",0,0,0,0,0,1,0,0,0
"communicate told",0,0,0,0,0,0,0,0,1
"communicate typical",0,0,1,0,0,0,0,0,0
"communicate unique",0,0,0,0,0,0,0,0,1
"communicate variety",1,0,0,0,0,0,0,0,0
"communicate verbally",0,0,0,0,0,0,0,0,1
"communicate widely",0,0,0,0,0,0,0,0,1
"communicating basic",0,0,0,0,0,0,1,0,0
"communicating communicators",0,0,0,0,0,0,0,0,1
"communicating friends",0,0,0,0,0,0,0,0,1
"communicating online",0,0,0,0,0,0,0,0,1
"communicating shout",0,0,0,0,0,0,0,0,1
"communicating time",0,0,0,0,0,0,0,0,1
"communication ability",1,0,0,0,0,0,0,0,0
"communication additional",0,0,0,1,0,0,0,0,0
"communication affable",0,0,0,0,1,0,0,0,0
"communication affect",0,0,0,0,0,0,0,0,1
"communication aids",0,0,0,0,0,0,0,0,1
"communication argued",0,0,0,0,0,0,0,0,1
"communication assessment",0,0,0,0,1,0,0,0,0
"communication beginning",0,0,0,0,0,0,0,0,1
"communication capable",0,0,1,0,0,0,0,0,0
"communication cells",0,0,0,0,1,0,0,0,0
"communication challenges",0,0,0,0,0,0,1,0,0
"communication changed",0,0,0,0,0,0,0,0,1
"communication communicative",0,0,0,0,0,0,0,0,1
"communication communicators",0,0,0,0,0,0,0,0,1
"communication days",0,0,0,0,0,0,1,0,0
"communication deficits",0,0,0,0,0,0,0,0,2
"communication device",0,0,0,0,2,1,0,0,2
"communication devices",0,0,1,0,0,0,0,0,0
"communication difficulties",1,0,0,0,0,0,2,0,1
"communication disabilities",0,0,0,0,1,0,0,0,0
"communication easy",0,0,0,0,1,0,0,0,0
"communication effectively",0,1,0,0,0,0,0,0,0
"communication environment",0,0,0,0,0,0,0,0,1
"communication expands",0,1,0,0,0,0,0,0,0
"communication forms",0,0,0,0,0,0,0,0,1
"communication frustration",0,0,0,0,0,0,0,0,1
"communication functional",0,0,0,0,0,0,0,0,1
"communication hopes",0,0,0,0,0,0,1,0,0
"communication includes",0,0,0,1,0,0,0,0,0
"communication increases",0,0,0,0,0,0,0,0,1
"communication incredibly",0,0,0,0,0,0,0,1,0
"communication interface",0,0,0,0,1,0,0,0,0
"communication lower",0,0,0,0,0,0,0,0,1
"communication makes",0,0,0,0,0,0,0,0,1
"communication opportunities",0,0,0,0,0,0,0,0,1
"communication palm",0,0,0,0,0,0,1,0,0
"communication partner",0,0,0,0,0,1,0,0,4
"communication partners",0,0,0,0,0,0,0,0,4
"communication people",0,1,0,0,1,0,0,0,3
"communication physically",0,0,0,0,0,0,0,0,1
"communication positive",0,0,0,0,0,1,0,0,0
"communication quick",0,0,1,0,0,0,0,0,0
"communication realm",0,0,0,0,2,0,0,0,0
"communication require",0,0,0,0,0,0,0,0,1
"communication situations",0,0,0,0,0,1,0,0,0
"communication social",0,0,0,0,0,1,0,0,1
"communication solution",0,0,0,1,0,0,0,0,0
"communication speak",0,0,0,0,0,0,0,0,1
"communication stay",0,0,0,0,0,0,0,0,1
"communication strategy",0,0,0,0,0,0,0,0,1
"communication supporting",0,1,0,0,0,0,0,0,0
"communication system",0,0,0,0,0,0,0,0,2
"communication tool",1,1,0,0,1,0,0,0,0
"communication tools",0,0,0,0,1,0,0,0,0
"communication totally",0,0,0,0,0,1,0,0,0
"communication tv",0,0,0,0,1,0,0,0,0
"communication update",0,0,0,0,0,0,0,1,0
"communication voices",0,0,0,0,0,1,0,0,0
"communications easy",1,0,0,0,0,0,0,0,0
"communications time",0,0,0,0,0,1,0,0,0
"communicative functions",0,0,0,0,0,0,0,0,1
"communicative temptations",0,0,0,0,0,0,0,0,1
"communicators educated",0,0,0,0,0,0,0,0,1
"communicators engage",0,0,0,0,0,0,0,0,1
"communicators feel",0,0,0,0,0,0,0,0,1
"communicators language",0,0,0,0,0,0,0,0,1
"communicators parents",0,1,0,0,0,0,0,0,0
"communicators privacy",0,0,0,0,0,0,0,0,1
"communities creating",1,0,0,0,0,0,0,0,0
"community assistiveware",0,0,0,0,0,1,0,0,0
"community board",0,0,0,0,1,0,0,0,0
"community favorite",0,0,0,0,1,0,0,0,0
"community fortunate",0,0,0,0,0,0,0,0,1
"community hopes",0,0,0,0,0,0,0,0,1
"community libraries",1,0,0,0,0,0,0,0,0
"community note",0,0,0,1,0,0,0,0,0
"community parents",0,1,0,0,0,0,0,0,0
"community professional",0,0,0,0,1,0,0,0,0
"community values",0,0,0,0,0,0,0,0,1
"company built",0,0,1,0,0,0,0,0,0
"company listens",0,0,0,0,1,0,0,0,0
"company rescued",0,0,0,0,0,0,0,0,1
"compared core",0,0,0,0,0,0,0,0,1
"compared i’ve",0,0,0,0,0,1,0,0,0
"compassion love",0,0,0,0,0,0,0,0,1
"compassionate world",0,0,0,0,0,0,0,0,1
"compatibility tech",0,0,0,0,0,0,0,0,1
"compatible multiple",0,0,0,0,0,0,0,1,0
"complaint delete",0,0,0,0,1,0,0,0,0
"complaints 1",0,0,0,0,0,0,0,1,0
"complete phrases",1,0,0,0,0,0,0,0,0
"complete sentences",0,0,0,0,0,0,1,0,0
"complete stand",1,0,0,0,0,0,0,0,0
"completely 4",0,0,0,0,0,0,1,0,0
"completely design",0,0,1,0,0,0,0,0,0
"completely powerless",0,0,0,0,0,0,0,0,1
"completely unnecessary",0,0,0,0,0,0,0,0,1
"complex communication",0,0,0,0,0,0,0,0,4
"complex effecting",0,0,0,0,0,0,0,0,1
"complex phrases",0,0,0,0,0,0,1,0,0
"complex speech",0,0,0,0,0,0,0,0,7
"complex started",0,0,0,0,0,1,0,0,0
"complicated set",0,0,1,0,0,0,0,0,0
"compliment greet",0,0,0,0,1,0,0,0,0
"comprehend time",0,0,0,0,0,0,0,0,1
"computer file",0,0,0,1,0,0,0,0,0
"computer minutes",0,0,0,0,1,0,0,0,0
"computer program",0,0,0,0,0,0,0,0,1
"computing loved",0,0,0,0,0,0,0,0,1
"conceived main",0,0,0,0,1,0,0,0,0
"concept bit",0,0,0,0,1,0,0,0,0
"concept pokey",0,0,0,0,1,0,0,0,0
"concluded 47",0,0,0,0,0,0,0,0,1
"concrete speak",0,0,0,0,0,0,0,0,1
"condition bank",0,0,0,0,1,0,0,0,0
"condition suggestions",0,0,0,0,0,0,0,0,1
"conditions affect",0,0,0,1,0,0,0,0,0
"confidence started",0,0,0,0,0,0,0,0,1
"configured activate",0,0,0,1,0,0,0,0,0
"confused deserve",0,0,0,0,0,0,0,0,1
"connect comfort",0,0,0,0,0,0,0,0,1
"connect deepest",0,0,0,0,0,0,0,0,1
"connect directly",0,1,0,0,0,0,0,0,0
"connected friends",0,0,0,0,0,0,0,0,1
"connecting virtually",0,0,0,0,0,0,0,0,1
"connection catfishing",0,0,0,0,0,0,0,0,1
"connection learned",0,0,0,0,0,0,0,0,1
"connection transformed",0,0,0,0,0,0,0,0,1
"connections simply",0,0,0,0,0,0,0,0,1
"consideration pay",0,0,0,0,0,0,1,0,0
"considered socially",0,0,0,0,0,0,0,0,1
"consistent levels",0,0,0,0,0,0,0,1,0
"consistent locations",0,1,0,0,0,0,0,0,0
"consistently core",0,0,0,0,0,0,0,0,1
"constant caretaking",0,0,0,0,0,0,0,0,1
"constricted stifled",0,0,0,0,0,0,0,0,1
"construct grammatically",0,0,0,0,0,0,0,0,1
"constructed intricate",0,0,0,0,0,0,0,0,1
"constructing messages",0,0,0,0,0,1,0,0,0
"construction single",0,0,0,0,0,0,0,0,1
"consumed taking",0,0,0,0,0,0,0,0,1
"contact finally",0,0,0,0,0,0,0,0,1
"contact information",0,0,0,0,1,0,0,0,0
"content consideration",0,0,0,0,0,0,1,0,0
"content customize",1,0,0,0,0,0,0,0,0
"content global",1,0,0,0,0,0,0,0,0
"content independent",0,0,0,0,1,0,0,0,0
"context provide",1,0,0,0,0,0,0,0,0
"continual improvement",0,0,1,0,0,0,0,0,0
"continue finish",0,0,0,0,0,0,0,1,0
"continue recommend",0,0,0,0,1,0,0,0,0
"continue that.typically",0,0,0,0,0,0,0,0,1
"continue wp42",0,0,0,0,0,0,0,0,1
"continued gps",1,0,0,0,0,0,0,0,0
"continued listen",0,0,0,0,1,0,0,0,0
"continues perfect",0,0,0,0,1,0,0,0,0
"continuous refinement",1,0,0,0,0,0,0,0,0
"contracted brain",0,0,0,0,0,0,0,0,1
"control movements",0,0,0,0,0,0,0,0,1
"control note",0,0,0,0,1,0,0,0,0
"control representation",0,0,0,0,0,0,0,0,1
"controlled aspect",0,0,0,0,0,0,0,0,1
"controlling narrative",0,0,0,0,0,0,0,0,1
"controlling responses",0,0,0,0,0,0,0,0,1
"conversation peers",0,0,0,0,0,0,1,0,0
"conversation photos",0,0,0,0,1,0,0,0,0
"conversations arrows",0,0,0,0,0,0,1,0,0
"conversations avaz",0,0,0,0,0,0,0,0,1
"conversations due",0,0,0,0,0,0,0,0,1
"conversations friends",0,0,0,0,0,0,0,0,1
"conversations peers",0,0,0,0,0,0,1,0,0
"converted natural",0,0,0,0,0,1,0,0,0
"convey protest",0,0,0,0,0,0,0,0,1
"conveying message",0,0,0,0,0,0,0,0,1
"convince facilities",0,0,0,0,1,0,0,0,0
"convinced understand",0,0,0,0,0,0,0,0,1
"cool additionally",0,0,0,0,1,0,0,0,0
"cool communication",1,0,0,0,0,0,0,0,0
"cool responsiveness",0,0,0,0,1,0,0,0,0
"coordinating muscles",0,0,0,0,0,0,1,0,0
"copied applications",0,0,0,1,0,0,0,0,0
"copied pasted",0,0,0,2,0,0,0,0,0
"copied spoken",0,0,0,1,0,0,0,0,0
"copy access",1,0,0,0,0,0,0,0,0
"copy link",1,0,0,0,0,0,0,0,0
"copy paste",0,0,0,0,1,0,1,0,1
"copyright restrictions",0,0,0,0,1,0,0,0,0
"core board",0,0,0,0,0,0,0,0,1
"core teaching",0,0,0,0,0,0,0,0,1
"core vocab",0,0,0,0,0,0,0,0,1
"core vocabulary",0,0,0,0,0,0,0,0,6
"core word",0,1,0,0,0,0,0,0,0
"core words",1,2,0,0,0,0,0,0,0
"corner button",0,0,0,0,0,0,0,1,0
"corner opposite",0,0,0,0,0,0,0,1,0
"corner saves",0,0,0,0,0,0,0,1,0
"corner top",0,0,0,0,0,0,0,1,0
"cost 7,000",0,0,0,0,0,1,0,0,0
"cost compatible",0,0,0,0,0,0,0,1,0
"cost mind",0,0,1,0,0,0,0,0,0
"cost money",0,0,0,0,1,0,0,0,0
"costs thousands",0,0,0,0,1,0,0,0,0
"counting oral",0,0,0,0,1,0,0,0,0
"countless customization",0,0,0,0,2,0,0,0,0
"couple hours",0,0,0,0,1,0,0,0,0
"couple love",0,0,0,0,1,0,0,0,0
"courage situations",0,0,0,0,0,1,0,0,0
"cover device",0,0,0,0,0,1,0,0,0
"covid mckinnon",0,0,0,0,0,0,0,0,1
"crashes change",0,0,0,0,0,0,1,0,0
"crashes created",0,0,0,0,0,0,1,0,0
"crashes time",0,0,0,0,0,0,1,0,0
"crazy notifications",0,0,0,0,0,1,0,0,0
"create account",0,0,0,0,1,0,0,0,0
"create boards",0,0,0,0,1,0,0,0,0
"create categories",0,0,0,0,0,0,1,0,0
"create complete",0,0,0,0,0,0,1,0,0
"create custom",0,0,0,1,0,0,0,0,0
"create endless",0,0,0,0,1,0,0,0,0
"create messages",0,0,0,0,0,0,0,0,1
"create pages",0,0,1,0,0,0,0,0,0
"create participate",1,0,0,0,0,0,0,0,0
"create unlimited",0,0,1,0,0,0,0,0,0
"create utterances",0,0,0,0,0,0,0,0,1
"create worry",1,0,0,0,0,0,0,0,0
"created categories",0,0,0,0,0,0,1,0,0
"created device",0,0,0,0,0,0,1,0,0
"created web",0,0,0,0,1,0,0,0,0
"creates caring",0,0,0,0,0,0,0,0,1
"creating affordable",0,0,1,0,0,0,0,0,0
"creating buttons",0,0,0,1,0,0,0,0,0
"creating delete",0,0,0,0,0,0,1,0,0
"creating free",0,0,0,0,1,0,0,0,0
"creating individuals",0,0,0,0,1,0,0,0,0
"creating sharing",1,0,0,0,0,0,0,0,0
"creating voice",0,0,0,0,0,0,0,0,1
"creator user",0,0,0,0,1,0,0,0,0
"crescendo core",0,1,0,0,0,0,0,0,0
"crescendo offers",0,1,0,0,0,0,0,0,0
"crescendo vocabulary",0,2,0,0,0,0,0,0,0
"critical communication",0,0,0,0,0,0,0,0,1
"criticism dark",0,0,0,0,0,1,0,0,0
"crucial granddaughter",0,0,0,0,0,1,0,0,0
"cry fight",0,0,0,0,0,0,0,0,1
"cues controlling",0,0,0,0,0,0,0,0,1
"culture evident",0,0,0,0,0,0,0,0,1
"current systems",0,0,0,0,0,0,0,0,2
"curriculum content",0,0,0,0,1,0,0,0,0
"curriculum student",0,0,0,0,1,0,0,0,0
"curve learn",0,0,0,0,1,0,0,0,0
"curve tutorials",0,0,0,0,1,0,0,0,0
"custom core",0,0,0,0,0,0,0,0,1
"custom files",0,0,0,2,0,0,0,0,0
"custom page",0,0,0,1,0,0,0,0,0
"custom words",1,0,0,0,0,0,0,0,0
"customer service",0,0,0,0,3,0,0,1,0
"customizability friends",0,0,0,0,0,0,1,0,0
"customizable buttons",0,0,0,1,0,0,0,0,0
"customizable type",0,1,0,0,0,0,0,0,0
"customizable utilized",0,1,0,0,0,0,0,0,0
"customizable vocabulary",0,1,0,0,0,0,0,0,0
"customization options",1,0,0,0,2,0,0,0,0
"customizations implented",0,0,0,0,1,0,0,0,0
"customize ago",0,0,0,0,0,1,0,0,0
"customize boards",0,0,0,0,1,0,0,0,0
"customize box",0,0,0,0,0,0,1,0,0
"customize characteristics",0,0,0,0,0,1,0,0,0
"customize communicate",2,0,0,0,0,0,0,0,0
"customize fit",0,0,0,0,1,0,0,0,0
"customize trained",0,0,0,0,1,0,0,0,0
"customize user",1,0,0,0,0,0,0,0,0
"customize variant",1,0,0,0,0,0,0,0,0
"customized including",0,0,0,0,1,0,0,0,0
"customized learners",0,0,0,0,0,1,0,0,0
"customized pages",0,0,0,1,0,0,0,0,0
"customizing breeze",0,1,0,0,0,0,0,0,0
"customizing buttons",0,0,0,1,0,0,0,0,0
"cybersecurity threats",0,0,0,0,0,0,0,0,1
"da i’ve",0,0,0,0,0,0,0,0,1
"dad benefit",0,0,0,0,1,0,0,0,0
"dad brothers",0,0,0,0,0,1,0,0,0
"dad communicate",0,0,0,0,1,0,0,0,0
"dad drove",0,0,0,0,0,0,0,0,1
"dad left",0,0,0,0,0,0,0,0,1
"dad sounding",0,0,0,0,0,0,0,0,1
"dad therapy",0,0,0,0,0,0,0,0,1
"dad voice",0,0,0,0,1,0,0,0,0
"dada kid",0,0,0,0,0,0,0,0,1
"damaged boy",0,0,0,0,0,0,0,0,1
"dangerous infrared",0,0,0,0,1,0,0,0,0
"dark abyss",0,0,0,0,0,0,0,0,1
"dark mode",0,0,0,0,0,1,0,0,0
"dark sense",0,0,0,0,0,0,0,0,1
"darkest desires",0,0,0,0,0,0,0,0,1
"darkness pulled",0,0,0,0,0,0,0,0,1
"data easier",0,0,0,0,1,0,0,0,0
"data larger",0,0,0,0,0,0,0,0,1
"data recommend",0,0,0,0,1,0,0,0,0
"data support",0,0,0,0,0,0,0,0,1
"dayhab home",0,0,0,0,1,0,0,0,0
"days communicate",0,0,0,0,0,0,1,0,0
"days impressed",0,0,0,0,0,0,1,0,0
"days positioned",0,0,0,0,0,0,0,0,1
"days week",0,1,0,0,0,0,0,0,0
"deaf partially",0,0,0,0,0,1,0,0,0
"deal customer",0,0,0,0,0,0,0,1,0
"deal vile",0,0,0,0,0,0,0,0,1
"death finally",0,0,0,0,0,0,0,0,1
"debated undeniable",0,0,0,0,0,0,0,0,1
"decade evolution",0,0,0,0,0,0,0,0,1
"decided ate",0,0,0,0,0,0,0,0,1
"decided communication",0,0,0,0,0,1,0,0,0
"decrease battery",1,0,0,0,0,0,0,0,0
"dedicated devices",0,0,0,1,0,0,0,0,0
"deepest level",0,0,0,0,0,0,0,0,1
"defenseless object",0,0,0,0,0,0,0,0,1
"deficits accompanying",0,0,0,0,0,0,0,0,1
"deficits feel",0,0,0,0,0,0,0,0,1
"defined disabilities",0,0,0,0,0,0,0,0,1
"degenerative condition",0,0,0,0,1,0,0,0,0
"degree freedom",0,0,0,0,0,1,0,0,0
"degree independence",0,0,0,0,0,1,0,0,0
"degrees communication",0,0,0,0,0,0,1,0,0
"delay child",0,0,0,0,0,1,0,0,0
"delays social",0,0,0,0,0,0,0,0,1
"delete add",0,0,0,0,2,0,0,0,0
"delete adding",0,0,0,0,0,0,1,0,0
"delete button",0,0,0,0,0,0,1,0,0
"delete caption",0,0,0,0,0,0,1,0,0
"delete items",0,0,0,0,0,1,0,0,0
"delete option",0,0,0,0,0,0,1,0,0
"deleted vocabulary",0,0,0,0,0,0,0,0,1
"deleted wordpower42",0,0,0,0,0,0,0,0,1
"deleting cells",0,0,0,0,1,0,0,0,0
"deleting logo",0,0,0,0,0,0,0,1,0
"delight program",0,0,0,0,0,1,0,0,0
"denied due",0,0,0,0,0,0,0,0,1
"dependent skills",0,0,0,0,0,0,0,0,1
"describes qualitative",0,0,0,0,0,0,0,0,1
"deserve cry",0,0,0,0,0,0,0,0,1
"deserving harsh",0,0,0,0,0,0,0,0,1
"design easy",0,0,1,0,0,0,0,0,0
"design quick",0,0,1,0,0,0,0,0,0
"designated vocabulary",0,0,0,0,0,0,0,0,1
"designed flexible",0,0,1,0,0,0,0,0,0
"designed individuals",0,0,0,1,0,0,0,0,0
"designed perfectly",0,0,0,0,1,0,0,0,0
"designed simple",0,0,1,0,0,0,0,0,0
"designed time",0,0,0,0,0,0,0,0,1
"desire internet",0,0,0,0,0,0,0,0,1
"desired information",0,0,0,0,0,0,1,0,0
"desired location",0,0,0,1,0,0,0,0,0
"desires constricted",0,0,0,0,0,0,0,0,1
"desires hearing",0,0,0,0,0,0,0,0,1
"desires people",0,0,0,0,0,0,0,0,1
"desires solution",1,0,0,0,0,0,0,0,0
"despair desperation",0,0,0,0,0,0,0,0,1
"desperately home",0,0,0,0,0,0,0,0,1
"desperation mother",0,0,0,0,0,0,0,0,1
"destiny spoke",0,0,0,0,0,0,0,0,1
"detailed reply",0,0,0,0,0,0,0,0,1
"detailed training",0,0,0,0,1,0,0,0,0
"details failed",0,0,0,0,0,0,0,0,1
"determination individuals",0,0,0,0,0,0,0,0,1
"determination representation",0,0,0,0,0,0,0,0,1
"detract message",0,0,0,0,0,0,0,0,1
"develop language",0,1,0,0,0,0,0,0,0
"developed communication",0,0,1,0,0,0,0,0,0
"developed licensed",0,0,1,0,0,0,0,0,0
"developed nancy",0,0,0,0,0,0,0,0,1
"developed quick",0,0,1,0,0,0,0,0,0
"developer facebook",0,0,0,0,0,1,0,0,0
"developers seeking",1,0,0,0,0,0,0,0,0
"developing add",0,0,0,0,1,0,0,0,0
"developing children",0,0,0,0,0,0,0,0,1
"developing easy",0,0,0,0,1,0,0,0,0
"development fringe",0,1,0,0,0,0,0,0,0
"developmental disabilities",0,0,0,0,0,0,0,0,1
"device accessing",0,0,0,0,0,0,0,0,1
"device add",0,0,0,0,0,0,1,0,0
"device alternate",0,0,0,0,1,0,0,0,0
"device appears",0,0,0,0,0,0,0,0,1
"device body",0,0,0,0,0,1,0,0,0
"device communication",0,0,0,0,0,0,0,0,2
"device costs",0,0,0,0,1,0,0,0,0
"device crashes",0,0,0,0,0,0,1,0,0
"device designated",0,0,0,0,0,0,0,0,1
"device device",0,0,0,0,0,1,0,0,0
"device flipping",0,0,0,0,1,0,0,0,0
"device heavy",0,0,0,0,0,1,0,0,0
"device helps",0,0,0,0,0,1,0,0,0
"device information",1,0,0,0,0,0,0,0,0
"device internet",1,0,0,0,0,0,0,0,0
"device it’s",0,0,0,0,0,0,0,0,1
"device kids",0,0,0,0,0,1,0,0,0
"device log",0,0,0,0,1,0,0,0,0
"device message",0,0,0,1,0,0,0,0,0
"device navigate",0,0,0,0,0,0,0,0,1
"device option",0,0,0,0,0,0,1,0,0
"device owned",0,0,0,0,0,0,0,0,1
"device platform",0,0,0,0,0,0,0,0,1
"device programmed",0,0,0,0,0,0,0,0,1
"device purchased",0,0,0,0,0,1,0,0,0
"device son",0,0,0,0,0,2,0,0,0
"device strong",0,0,0,0,0,1,0,0,0
"device students",0,0,0,0,0,0,1,0,1
"device talk",0,0,0,0,0,1,0,0,0
"device type",0,0,0,0,1,0,0,0,0
"device variety",0,0,0,0,0,0,0,0,1
"device visual",0,0,0,0,1,0,0,0,0
